fen,dataset_next_move,side_to_move,stockfish_bestmove,score_before,score_after,delta
1nbqkbnr/1ppppp2/r5p1/7p/p1P3Q1/PP2PP2/R2P2PP/1NB1KBNR b K - 2 8,h5g4,black,h5g4,717,689,-28
rn2kbnr/pbqpp3/5p1p/2p5/P1B1P2p/1QP4R/1P1P1PP1/RNB1K1N1 b Qkq - 5 10,b7e4,black,b7e4,-115,-125,-10
rq2kbr1/2ppp1pp/1pn5/pN3p1P/P4Pn1/RP1K2P1/2PPP1bR/2BQ1B2 b q - 0 16,g4f2,black,g4f2,99996,99997,1
1n1qkbnr/rp1b1ppp/8/p1ppp3/3B4/1P1P4/P1P1PPPP/RN1QKBNR w KQk - 4 7,d4e5,white,d4e5,13,17,4
r1b2knr/p4p2/1pp5/2PpP2p/1nPB2pq/P3P1P1/R1Q4P/1N2KBNR b K - 2 19,b4c2,black,b4c2,267,266,-1
q3kr2/rpp1p1bp/p1n1b1pn/3p4/3P2P1/2P1PP2/PP1BQ1BN/RN2K2R b KQ - 1 14,c6d8,black,b7b5,-159,-156,3
rnbqkb1r/3ppp1n/pp5p/8/1Pp2p1P/P1N1P1P1/2PP4/R1BQKBNR w KQkq - 0 10,d1f3,white,d1f3,113,122,9
r1q1kb2/1pp1p2r/p1n2pp1/5n1p/2Pp1B1P/P2P1N2/1P1QPP2/R2NK2B b q - 1 20,e7e5,black,e7e5,379,417,38
3q1b2/2pk2pr/2n2p1p/rB1Q4/P5bP/1RB2PnN/2P5/1N2K2R b K - 0 23,d7c8,black,d7c8,-404,-436,-32
rqb1kb1r/1p2p2n/p4ppp/B1pp4/2PP1P2/PP5N/4P1PP/RN1QKB1R w Kkq - 1 13,e2e3,white,e2e3,440,440,0
2bq1bn1/r2p1kpr/1p2p3/2NPPpBp/p7/5P1P/PPPQ1KP1/R4BNR w - - 2 19,c5e6,white,g5d8,743,730,-13
1rbq1b2/p3kppr/n2p3n/1pN1p1Pp/2P1PP1N/P6B/1P1PQK1P/R1B4R b - - 0 15,h6g4,black,h6g4,236,241,5
rn1qkb1r/p2pN1p1/b7/2p2p1p/2B1PP2/P4Q2/1PPP1nPP/R1B1K1NR w KQkq - 0 11,e7g6,white,e7g6,287,310,23
rq2kb1r/p2pn3/b3p1pp/1pp2P2/1PPn4/P2Q3P/3PBPPR/RNBK2N1 w kq - 1 14,d3g3,white,d3g3,-255,-268,-13
1n3bnr/rp2p1p1/p4pk1/q2p2P1/5P1p/6Qb/PPP1PK1P/R1B2B1R w - - 6 19,g3h3,white,g3h3,-98,-145,-47
rnbk1b1r/1p2pn1p/8/p2P1pP1/P5P1/1QBp3B/4PP1R/qN2K1N1 b - - 5 16,f8g7,black,f8g7,-303,-307,-4
r2qk1r1/2p1ppbp/2np4/pp3bp1/QPPP1Pn1/P3B2N/4P1PP/RN2KB1R w KQq - 2 11,a4b5,white,a4b5,-504,-497,7
2bq2n1/rp2pk1r/3p3b/pp1P2B1/P3p1Pp/3nPP2/1PP3KP/1R3BNR b - - 0 19,h6g5,black,h6g5,825,813,-12
r3k1n1/2pp1p2/5p2/1P2p2P/pP2P1P1/3P1P2/1P1QB1NR/RN2K3 b Q - 0 22,d7d5,black,f6f5,-1096,-1160,-64
1n1qkb1r/r3p3/bp3P2/p2p3p/1P1PNPn1/2P3B1/PR2P1PR/3QKBN1 w - - 1 18,f6f7,white,f6f7,239,251,12
rnbqk1nr/p1p1p1b1/3p3p/1p2Pp2/1PPP2pN/8/P4PPP/RNBQKB1R w KQkq - 0 10,c4b5,white,c4b5,188,193,5
r3k3/1bp2p1r/2pbp2p/pp5B/4Pp2/2P3qN/PnK3P1/R1BQ2R1 w - - 0 21,c1b2,white,c2b2,-51,-38,13
r1bqk1nr/2ppbpp1/1pnNp2B/p7/7P/1P1P4/P1P1PPP1/R2QKBNR b KQkq - 2 7,e7d6,black,e7d6,417,401,-16
rnb1kbr1/ppp1ppp1/7p/3p3n/P4q2/3PB2P/1PP1PPP1/1N1QKBNR w Kq - 0 9,e3f4,white,e3f4,288,291,3
r1q1kb1r/pbpnpppp/2Bp1n2/1p6/3NP3/N6P/PPPPKPP1/R1BQ3R b kq - 5 8,b7c6,black,b7c6,240,240,0
1r2kbr1/q3ppp1/8/pp1p4/Pn1p1PP1/6n1/RPPQP1P1/1NB1KB2 b - - 5 18,g8h8,black,g3e4,743,735,-8
r2k4/p3pp2/np1p2rn/2p3pp/PP2qb2/2PPP2R/3BB1P1/R2QK1N1 b Q - 0 19,e4g2,black,e4g2,521,528,7
1rb4r/pp1pk2p/3b1pp1/q1p1p2n/1P3P1R/RPP5/3PPKP1/1NBQ1BN1 w - - 0 13,a3a5,white,b4a5,709,701,-8
rn3k1r/1pp2ppp/p6n/4p3/3p3q/b2PP2b/PPPBNPPP/2RQKBR1 w - - 6 10,g2h3,white,g2h3,25,12,-13
rn3b1r/qpkbn1p1/4p2p/p1pp4/P3P1P1/1PPP4/1R4KP/1N3BNR b - - 0 25,e7g6,black,e7g6,919,913,-6
2bqQb1r/N1p4p/rpn1p3/p1k2pN1/3p4/3PP3/PPPK1PPP/R1B2B1R w - - 1 15,e8c6,white,e8c6,99998,99999,1
r1b1kbnr/1ppp1ppp/4p3/p7/Pn3P2/NQPPB3/1P2PKPq/3R1BN1 w kq - 4 12,g1f3,white,g1f3,-224,-259,-35
rnb2qkr/1p2p1bp/P1p2p1n/3p2p1/2PP2P1/B4P1P/P1Q1P1B1/RN2K1NR b KQ - 2 13,a8a6,black,a8a6,-98,-105,-7
r3kb2/1p2pp2/p1pp1npr/1n1P1P1p/b1P2Q2/4K2P/NP2N1P1/R1B3R1 b - - 2 24,g6f5,black,g6f5,-377,-388,-11
r2k1b1B/p2bpq2/1pn2p1p/R5pP/4P1P1/3P1P1R/3K4/5BN1 b - - 3 24,b6a5,black,b6a5,836,857,21
rnbq2nr/pp1pkpp1/2p5/6Np/3Bp3/bP3P2/P1PPP1PP/RNQ1KB1R b KQ - 0 7,a3c1,black,a3c1,533,555,22
r1bqkbnr/1ppp1p1p/pQ6/4p3/P5p1/2PnP3/1P1PKPPP/RNB2BNR w kq - 0 8,b6a5,white,b6a5,-559,-538,21
r1bq1bn1/ppppp1pr/n4k1p/5p2/8/N2P1PPP/PPP1P2R/R1BQKBN1 w Q - 1 7,d3d4,white,e2e4,145,167,22
rnbq1bn1/1p1pkppr/4p3/p1p4p/1P6/2P2N2/P2PPPPP/RNBQKB1R b KQ - 1 8,a5b4,black,a5b4,36,25,-11
3rk1nr/ppp4p/P1np2pb/5p2/2P1p2B/NR1P2qN/bP2PPBR/1Q2K3 b k - 1 20,g3h2,black,g3h2,506,597,91
rn2k1nr/3qb3/3pPppp/Npp2P2/5PP1/2P1B2P/PP1N3K/R3QB1R b kq - 1 19,d7c7,black,d7c7,-590,-606,-16
r1bq1b1r/p2ppk1p/n4n2/1pp2pp1/8/PPNP1PPP/2P1P2R/R1BQKBN1 b Q - 0 8,f8g7,black,f8g7,53,28,-25
r1b1kb1r/pq1ppp2/n1p3pp/1p3N1n/3P1P1P/5KPN/PPP1P1B1/R1B1Q2R b q - 12 16,g6f5,black,g6f5,459,479,20
1n1qkbnr/r3pp2/8/pPpp1bpp/5P1P/2N1P1PN/1PPP4/R1BQKB1R w Kk - 0 15,h4g5,white,h4g5,332,319,-13
r1bqk2r/3n4/5pp1/p1p1p3/2PP1Pnp/b3P1PP/PB5R/1RK2BN1 w kq - 2 21,h3g4,white,h3g4,-677,-655,22
1n1q1b1r/1Bpk2n1/3pp2p/p4p2/P2PPP1p/1P6/2K2BP1/RNQ3NR w - - 0 21,c2d1,white,f2h4,689,667,-22
1n3knr/rp1bb2p/p2p1p2/P1p1p1P1/4P1Q1/NP3BPP/2PP3R/R1B1K1N1 b Q - 2 17,d7g4,black,d7g4,-586,-555,31
1nbq1r2/1p1pppbk/r6p/p1p3p1/P2Pn1P1/1PP2P1P/2Q1P3/RNB1KBNR b - - 2 11,c5d4,black,c5d4,-161,-149,12
rnb1k2r/p1p1q2p/1p1ppn2/2b2pp1/3B4/N2P2PN/PPP1PP1P/RQ2KB1R w KQkq - 0 9,f1g2,white,f1g2,76,64,-12
r1bqkbnr/1pppp1p1/p1n4p/3N4/3NpP2/8/P1PP2PP/R1BQKB1R w KQkq - 0 8,d1h5,white,d1h5,99998,99999,1
r3kb1r/p1p2np1/P2qb3/1p1N1p1p/5p1P/1R1P2P1/1P2P1B1/2BQ1KNR w kq - 1 15,c1f4,white,d5f4,501,464,-37
1rbk3r/1p1p1n2/n2B4/P3pNpp/P1p1P3/2P3P1/1Q2PP1P/RN2KBR1 b Q - 2 22,b7b5,black,b7b5,-954,-956,-2
1n2qbnr/4pk2/r1p4p/ppPp4/3PPpbp/5P2/PP5P/1NRQKBNR w - - 0 20,f3g4,white,f3g4,16,15,-1
rn2kb1r/1b1q1p1p/pP6/4pP2/2pp2p1/1P2P1PN/N1PP3n/R1BQKB1R w kq - 0 16,h1h2,white,h1h2,30,34,4
rn3knr/3Bpq1p/b6b/p1p3p1/4PpP1/3K1P1Q/PpPP3P/RNB3NR w - - 10 23,d7b5,white,d7b5,-99997,-99997,0
rnb2kn1/p1qp1p2/4p1pr/1B4Np/1pP1P2P/P1bPQPP1/8/2BK1R2 b - - 0 25,a7a6,black,b4b3,496,479,-17
r1b1k1nr/1p3p2/p3p3/2pP1QP1/4P2p/q7/1R3KP1/1NB2BNR w kq - 0 21,f5f7,white,f5f7,675,678,3
rnb2knr/p2pq1pp/2pb1p2/1p2P3/7P/P3PN2/1PP1QPPR/RNB1KB2 b Q - 0 9,f6e5,black,f6e5,-93,-93,0
5b1r/r2kppp1/p1qpbn1p/1p3P2/1P1PP2P/4Q3/PN1NK1P1/R1B2BR1 b - - 2 23,e6d5,black,e6d5,-405,-447,-42
rn2kbr1/p2bppp1/2p4p/1p1pP3/qP4nN/N2B4/PBPP1P1P/R2QK2R b Qq - 7 13,a4b4,black,a4b4,279,320,41
rn1kq2r/np6/p1p4p/b2BpbP1/3pP2P/N2P1Q2/P1PBNK2/1R5R w - - 0 23,d2a5,white,d2a5,650,684,34
1nrq1bnr/p2p1k1p/5p2/2p1p1p1/1P3PP1/1bNP3P/P3P1B1/R1BQK1NR w KQ - 0 16,d1b3,white,d1b3,510,506,-4
2rqkbr1/pbpp1ppp/np2p3/1N6/2P4P/4P1P1/PP2PP2/R1BQKBNR b KQ - 2 10,b7h1,black,b7h1,148,161,13
rnbk1b1r/p2p1p2/4q2p/2p2n2/pPP1pp2/N3PNPP/P2P1KBR/R1B5 w - - 0 16,g3f4,white,g3f4,-725,-752,-27
rn1qkbnr/p1pbppp1/8/3p3p/2p1P3/P7/1P1P1KPP/RNBQ1BNR w kq - 0 9,e4d5,white,e4d5,-232,-237,-5
1r1qk1n1/5p1r/ppP5/4p2p/2PpQb1P/P3BNPN/4PP2/R3KBR1 w Q - 1 20,g3f4,white,e3f4,946,955,9
2b2b1r/r1kpnp1p/1p2pBp1/8/Pp1PP3/1P2KnPP/R1P2PB1/1N5R b - - 2 23,f8h6,black,f8h6,-137,-122,15
rnb1kbnr/2qppp1p/8/ppp3p1/4P3/Q4N2/PPPPNPPP/R1B1KB1R b KQkq - 3 7,b5b4,black,b5b4,52,49,-3
r3kbnr/1bp1p1p1/Bp3pn1/3Nq2p/pP3PP1/4P2P/P1PP1K2/R1BQ2NR w kq - 0 14,a6b7,white,a6b5,534,509,-25
rnr5/pk2b3/1pq2n2/1b2pPBp/1P6/P4N1P/2P2PP1/RQ2KR2 w Q - 1 20,b1b3,white,f3d2,-555,-562,-7
r4bn1/1p1b2p1/2nqk1r1/p1p3Pp/P1Ppp2N/3P1R2/RPKQ1N1P/2B2B2 b - - 1 24,e4f3,black,e4f3,139,127,-12
r1b3nr/ppp2kp1/2nb1p1p/4p3/3pq3/P1PP2PP/RP2N2R/1NBQKB2 w - - 2 12,d3e4,white,d3e4,571,563,-8
1rb1k1nr/1ppnbppp/3q4/pP1p1P2/P3p1P1/R1PPB2B/4P2P/1N1QK1NR b K - 1 11,d7e5,black,d7e5,233,225,-8
1r1qkb1r/2pp4/3P2p1/pp2p2p/2Pn3N/PP1bPpn1/1Q3P1P/RNB1K2R b Qk - 0 22,g3h1,black,g3h1,540,585,45
2rbk1n1/p1p3p1/3p1p2/R2p1b1r/3P4/N1B1P2N/2P2P1P/3K1R2 b - - 0 22,h5h3,black,f5h3,520,487,-33
rn3k1r/pbq2Bpp/8/1pp1P3/1P3Nn1/b3PP2/P1P4P/R1BK1NR1 b - - 0 21,b7f3,black,b7f3,750,773,23
r1b1kb1r/p1p5/1p2pqN1/n5pp/1P1P1Qn1/B3p2P/PRP2P2/1N2KBR1 w - - 0 19,f4f6,white,f4f6,447,453,6
r1q1k2r/pb1p2bp/5ppn/1p2P3/1n2PP1P/P3N2N/Q1P1B1PB/R3K2R b KQkq - 2 22,b4a2,black,b4a2,585,559,-26
5b1r/p2k1p2/2np1np1/2p3Pp/R1N1P2R/r1P1PQ2/2P2PPB/2K1NB2 w - - 1 25,c4a3,white,c4a3,984,1030,46
r2qkb1r/ppp1p2p/2npb3/2n2p1p/QPP1P2P/3P1PP1/P3N3/RN2KB1R w KQkq - 3 12,b4c5,white,b4c5,-189,-191,-2
rnbqkbr1/p1ppppnp/1p6/6p1/P1P4N/1P1P4/4PPPP/RNBQKB1R w KQq - 1 7,c1g5,white,c1g5,97,120,23
r1bk1qr1/1p1p1pPp/7b/p1p4P/P1P2Q2/3n4/1PN1P3/R4KNR w - - 1 22,g7f8q,white,g7f8r,659,679,20
1n2kbn1/1p2p3/r1p1bppr/p2p3p/2PPNPP1/1PN1PB2/7P/2qQ1KR1 b - - 1 19,c1d1,black,c1d1,690,743,53
rnb5/p3k3/1ppp4/4p1pp/Q1P4N/N3PB2/PP1P1P2/R1BK1R2 w - - 1 21,c4c5,white,f3c6,992,984,-8
rnbqkb1r/1p2p2p/1n3pp1/p1pp4/N2P1P2/5N2/PPP1PBPP/R2QKB1R w KQkq - 2 9,a4c5,white,a4c5,184,178,-6
1nq2r2/r1p1b1p1/1pBp1nk1/p6p/PPPP4/5P2/4P2P/R1B1K1NR b KQ - 0 17,b8c6,black,b8c6,805,820,15
r1bqk1nr/1ppppp1p/p1n3p1/8/2P4P/1P2P1P1/Pb1P1PB1/RNQ1K1NR b KQkq - 0 9,b2c1,black,b2c1,801,795,-6
rn3r2/1bpp1ppp/3k3q/p2Np3/P1P1P2P/4nP1N/1P1PB1KP/R1B4R w - - 11 19,d5e3,white,d5e3,-206,-196,10
r1bq1b2/pp2pp1r/Q1n1kn1p/2Pp2p1/P1P2P2/R7/1P2PKPP/1NB2BNR b - - 1 13,b7a6,black,b7a6,591,617,26
rn1k1bn1/p1qp4/b1p1pppr/1p6/2NB2Pp/1PPPQP1B/P3P2P/3RK1NR w K - 1 15,g4g5,white,g4g5,169,171,2
r4b1r/p2b1kp1/1p1p1nq1/7p/PnP3PP/2p5/3N1P2/2B1K1NR w - - 2 23,d2f3,white,e1f1,-1072,-1097,-25
r5qr/5kpp/p1pp3n/1pP2pb1/Pn2P3/5PP1/b2PK2P/R1B2BNR w - - 2 23,a1a2,white,a4b5,-785,-792,-7
rn1qkbnr/ppp1ppp1/7p/P2p4/1PPP1P2/2NQ1N1b/4P1BP/R1B1K2R w KQkq - 9 15,g2h3,white,g2h3,560,551,-9
1r1k1b1r/pp2n2p/P1R5/3pp1P1/1P3pb1/2P5/2QPnKPR/1NB1NB2 b - - 1 19,b7c6,black,e2g3,-395,-387,8
4kr2/p2rb3/B4ppp/2p1p1P1/1PP4P/2pPPP2/qB2K3/RQ4Nb w - - 0 26,a1a2,white,b1a2,570,551,-19
r1b1qbnr/p1pkp2p/n7/1p1p1pp1/2P2P2/8/PP1PP1PP/RNBQKBNR w KQ - 2 8,c4b5,white,c4b5,240,217,-23
rn2kb1r/p1qb1p1N/2Qp2p1/2p1p3/4PP1P/2P3n1/PPNP2PR/R1B1KB2 b Qkq - 3 16,d7c6,black,c7c6,634,608,-26
r2qk3/4p1r1/Bp1pP1p1/2p2pPp/6nP/P7/1P1P2Q1/RNB2KNR w q - 0 23,a6b5,white,a6b5,604,625,21
r1b3n1/p1p1N2r/1p3p2/2n1k1pp/1PP1P2q/1P5P/3P1PP1/RNB1KB1R w KQ - 3 14,e7g6,white,e7g6,448,461,13
1rb1k1nr/pp1p1pp1/n1qbp3/2P5/2P4p/N1Q1P1PN/P2P1PBP/R1B1K2R b KQk - 1 12,c6g2,black,c6g2,221,228,7
rnbqk1nr/p2p4/2pbpp2/1p4p1/NP4Pp/2P5/PB1PPP1P/R1Q1KBNR b KQkq - 1 9,b5a4,black,b5a4,348,337,-11
2rq1br1/1bp2ppp/p1npk2B/1p2p1Q1/1P2P3/3P1P2/P1PNNKPP/R4B1R b - - 0 15,f7f6,black,f7f6,-295,-282,13
r2qkbn1/4pp1r/ppnp4/2p3pp/2P1P1N1/1Q1P2P1/PP3P1P/RNB1KB1R b KQq - 2 10,h5g4,black,h5g4,-49,-42,7
r1bqkb1r/p2pn2p/1pp1Bp2/6p1/1n1P1p2/6P1/P1PBP2P/RN1QK1NR b KQkq - 1 10,d7e6,black,d7e6,495,515,20
r1n1k2b/2pp1p1r/p3N1p1/4p2p/2P4P/1R6/PBKPPPP1/1Q3B1R w q - 0 24,e6c7,white,e6c7,1036,1043,7
r2q1b1r/p1p1k2p/3p2b1/1p1Q1n2/2PPp3/NP3P2/P1B5/2R1K1NR w K - 6 26,c2e4,white,a3b5,166,134,-32
r2qk2r/p1pbbp1p/2npp1p1/1p6/PP3Pn1/4P2P/2PNB1PR/R1BQK1N1 b Qkq - 2 12,e7h4,black,e7h4,726,727,1
rnb1kr1b/3p1p1p/2p4n/P3p1p1/1pQP1qPP/B1P5/P2NPP2/R3KBNR w q - 2 20,c4b4,white,c4b4,780,852,72
rnb1k2r/1pqp1p1p/2pbpn2/p5p1/PP3P1P/2B3PR/2PPP3/RN1QKBN1 b Qkq - 6 8,g5g4,black,g5g4,23,40,17
rnb1k1n1/2p3pr/pb2pq1p/1p1p4/P3PP2/N2B1P1P/RPPPNR2/2B1Q1K1 w - - 1 20,e4e5,white,e4e5,347,262,-85
r1q1kb2/2pbpp2/1p1pB1p1/3r4/p2n2nP/PP1P4/2P1PP1P/RNBQ1KNR w q - 8 17,e6d5,white,e6d5,344,290,-54
r1b2bnr/pNppkp2/1pn3p1/4p2p/6P1/P4q2/1PPPPPBP/R1BQK1NR b K - 5 9,f3g2,black,f3g2,856,834,-22
1n1q1b1r/r2k1p1p/pn2R1p1/3p4/pP1P2P1/1NN2P2/4P1P1/R1BQKB2 w Q - 1 19,e6b6,white,e6b6,441,442,1
1r1qkb1r/2n5/pp4pp/1b1nPp2/P1pNP3/BPP2P1P/3K2PR/R2Q1BN1 w k - 3 23,e4d5,white,e4d5,284,309,25
3qk2r/1r1bppb1/1pn2npp/p1p3N1/2p2P2/NP1P2P1/P1QKP1BP/R1BR4 w - - 6 19,g5f3,white,g5f7,-356,-350,6
rnb1kb1r/1p1p3p/p1p4n/2q1ppP1/1P6/3PBKP1/P1PNPN1P/R2Q1B1R b kq - 3 13,c5d5,black,c5d5,172,176,4
rnb2br1/p1Nn2pk/p2pp3/2p4p/2PPPP2/P5PN/1P2K1P1/R1B1R3 w - - 0 19,c7a8,white,c7a8,296,277,-19
rnb4r/p2kn3/8/1ppppppp/1P1P2P1/2N1K3/1BP1PP1P/RQ2NBR1 w - - 6 21,d4e5,white,d4c5,783,745,-38
rnb2bnr/p1k2pp1/1p1p1q2/1PB1pP2/P1B1P1Pp/Q2P3N/2P4P/RN1K3R w - - 5 19,c5e3,white,c5e3,460,440,-20
2b3n1/rp1p1p1r/2nk4/N1p1p1pp/P3P1P1/B1P2B2/3K1P1P/1RR5 b - - 8 25,a7a5,black,a7a5,439,431,-8
r1bk1b1r/p2p1B1p/6pn/1Pp3q1/P3Pp2/Nn1P2QP/RP3PPR/2BK4 b - - 2 17,g5h5,black,g5g3,539,516,-23
1r2k1nr/pbp1Np1p/n2p2p1/1p6/2PbP3/NQ1B3q/PP1P1PPP/R1B1KR2 w k - 1 13,g2h3,white,g2h3,500,497,-3
r1b1k2r/p1pn1ppp/3b3n/1p1pp1q1/PPP5/B6N/R2PPPPP/1N1QKB1R w Kkq - 3 8,h3g5,white,h3g5,688,665,-23
r1b1k1nr/pp1pb3/nqp3pp/1N2PpP1/8/P1P2N2/1P1PP2P/1RBQKB1R b Kkq - 1 13,c6b5,black,c6b5,279,280,1
rnb1kbnr/ppq3p1/3p4/2P2p1p/P1N1p1P1/3QPP1B/1PP4P/R1B1K1NR b KQkq - 0 10,e4d3,black,e4d3,650,656,6
r3k1nb/4pp1r/nq1p4/pp4Pp/N3Q2P/1P6/P1P1PBBR/3R1KN1 w q - 1 25,a4b6,white,a4b6,1133,1199,66
1n1qkbnr/rpp3pp/8/p1p1pp2/P3PBb1/3P1P2/1P1NN1PP/R2QKB1R w K - 6 13,f3g4,white,f3g4,190,185,-5
rnb2knr/1ppp1pqp/4p3/p7/NPPNP1p1/3B4/P2B1PPP/2RQK2R w K - 7 11,b4b5,white,d2c3,593,511,-82
r1k2bnr/pb1n1pp1/4N2p/1pqp4/PP3P1P/R4N2/3PP1P1/2BQKB1R w K - 1 17,e6c5,white,e6c5,768,760,-8
1nb1kbnr/rp1ppppp/pq6/8/P2p4/7N/1PPNPPPP/R1BQKB1R w KQk - 3 6,e2e4,white,e2e4,-13,-21,-8
rnb1kb1r/1p1pp1pp/p1p4n/q4p2/2P2P2/N5PP/PPQPP3/R1B1KBNR b KQkq - 2 7,e7e5,black,e7e5,-19,-13,6
r1bk4/ppr3b1/R4ppp/2p1p3/1nP1N1P1/3p2N1/3PPP1P/q1BK1B1R w - - 4 26,a6a1,white,a6a1,108,106,-2
rn3bnr/p2pk2p/bp2ppp1/8/PP1pq2P/B5P1/2P1QP2/RN1K1BNR w - - 0 13,b4b5,white,e2e4,694,694,0
rnbqkbn1/ppp1p1pr/8/3p1p1p/4P3/2PP3P/PP2NPP1/RNBQKBR1 b Qq - 0 6,d5e4,black,d5e4,-28,-20,8
rq3b1r/ppp2p2/B2p1kp1/4pb1P/3PPP1N/P1N4P/1PP2R2/R1B1K3 b Q - 2 18,e5d4,black,e5d4,187,191,4
r1b3nr/ppp1k2p/3p2p1/4ppq1/P7/b2P3P/RP1BPPP1/1N1QKBR1 w - - 2 12,d2g5,white,d2g5,841,833,-8
r1b1kb1r/pp2qn2/6p1/P1P1pp1p/3n1NP1/3p4/1PPK1PBP/RNBQ1R2 w kq - 2 17,c2c3,white,c2c3,-209,-218,-9
1nb2b1r/rp3k1p/1q3p2/1NQppPp1/p3n1P1/4PK2/PPPP1N1P/R1B2BR1 w - - 1 16,c5b6,white,c5b6,649,658,9
r1bk2nr/ppppb2p/n5p1/P3pp2/2P4q/3P1PPP/1P2P3/R1BQKBNR w KQ - 1 12,g3h4,white,g3h4,446,441,-5
2b3nr/r1ppkp2/p3p1pp/4b3/RPK3P1/2NP1PR1/2PBP3/1N2QB1q w - - 3 19,g3h3,white,g3h3,421,440,19
rnbq1bnr/p2ppkp1/1p6/2p2p1p/4PP1P/2P3PN/PP1P4/RNBQKB1R b KQ - 0 6,c8b7,black,c8b7,-142,-136,6
r1bq1b1r/ppp1pppp/2kp3n/2n5/2N2P1P/5R2/PPPPP1P1/RNBQ1BK1 b - - 7 9,c6d7,black,c6d7,-72,-49,23
rnbk1br1/pp1p1p2/2p1Q3/5np1/1P2pPP1/P1P1P2N/3P3P/RNB1K2R w - - 0 21,e6f5,white,e6f5,704,701,-3
r1bq1b2/npp1k1pr/4p2p/p2p4/1P1P3P/P1P5/2K1PPp1/RNB2BNR b - - 1 19,g2h1q,black,g2h1q,972,972,0
q2k1bn1/r1p1p2r/2np1ppp/pp1P4/4PPP1/N4NQ1/PP1K3P/R1B2b1R b - - 1 18,f1c4,black,f1c4,222,213,-9
r2k4/5prp/ppppb3/5Bp1/1qPP2n1/b1N1P1PP/P7/R1BK2R1 b - - 1 25,b4c3,black,b4c3,892,954,62
r1b2b1r/pp1pkp1p/n2q4/PPp3p1/8/2PP2P1/4PPBP/RNB1K1NR w K - 3 17,c1g5,white,b5a6,-89,-84,5
rnb1kbnr/p1qpp3/8/1pp1Nppp/8/PP2PQ2/2PP1PPP/RNB1KB1R w KQkq - 2 7,f3f5,white,f3f5,428,443,15
rn1qkbnr/p1pp1pQ1/4p2p/1p4B1/P1PP4/5b2/1P2PP1P/RN2KBNR b KQkq - 0 8,f8g7,black,f8g7,405,430,25
1n1qkbnr/r3p3/p3bp2/Pp3Ppp/1P2Q1PP/2ppP3/1BPP4/1R2KB1R w k - 0 26,f5e6,white,f5e6,9,-1,-10
r1bqkb1r/p1Q1p2p/2p5/3p1pp1/4P3/N1p3PP/PPPP4/R1B1K1R1 w Qkq - 0 18,c7c6,white,c7c6,44,46,2
rn4nr/4b1k1/1P2b1p1/3Ppp1p/pQ3N1q/1P2P3/P2K1PPR/RNB2B2 w - - 1 24,f4e6,white,f4e6,788,794,6
r1bqnbkr/1pp1p1p1/2np4/p3PQ1p/2P2P1P/7R/PP1P2P1/RNB1KBN1 w Q - 3 12,e5e6,white,e5e6,202,192,-10
rn2kbn1/pp1bp1pr/2p5/1B3pp1/4P3/PP6/2P1KPPq/RN1Q2NR w q - 0 13,h1h2,white,h1h2,210,177,-33
rnb1kb2/3p1pp1/p3p1n1/2p2q1r/P3PP2/BPPB3P/3P3R/1N1QK1N1 b q - 0 16,f5f4,black,f5f4,537,522,-15
1nb1qb1r/1r1kpp1p/p1p2np1/1pPp1P2/PP2P2P/7N/R2PQ1P1/1NB1KB1R b K - 2 15,f6e4,black,g6f5,-23,-20,3
rnb1k1nr/2pp2pp/p3p3/1pb2P2/1P5P/P1P3qN/3PPP2/RNBQKB1R w KQkq - 0 8,f2g3,white,f2g3,668,654,-14
1nbqkbr1/r1ppppp1/5n2/1p6/p1N2PPR/1P5B/P1PPPK2/R1BQ2N1 b - - 0 10,f6e4,black,f6e4,342,318,-24
rnbqkbnr/pp1p4/4p3/2p2ppp/3P2P1/1PP1P3/PB3P1P/RN1QKBNR b KQkq - 1 7,h5g4,black,h5g4,129,123,-6
4kbnr/1q4pp/n1r5/P1pP1p2/PpP2pP1/3B3P/1BQK3R/1R3NN1 w - - 0 26,d5c6,white,d5c6,673,676,3
r2qk1nr/1b1p3p/pbp4n/Pp2p1p1/2B5/1P2PPNP/2PPNRP1/R1B1K3 b Qkq - 5 20,b6c7,black,b6c7,631,622,-9
rnbq1b1r/2ppp1pp/p4k2/1p3P2/PP3P2/4K3/2PP2PP/RNB2BNR w - - 0 12,a4b5,white,g1f3,-330,-335,-5
r1bqkb1r/3p1p1p/1p2N3/p1p1n3/1P1PnP2/N5P1/P1P1P2P/R1BQKB1R w KQkq - 1 10,e6d8,white,e6d8,521,548,27
5k1r/1p1bn1qp/r1ppp2P/5p2/p7/P4P2/R2PPNPR/QNB1KB2 w - - 0 20,h6g7,white,h6g7,99991,99992,1
bn2kb1r/r1q5/p1ppp2p/8/1PBQ1P2/2P5/PB4PP/R4KNR b - - 1 18,f8g7,black,f8g7,-164,-164,0
rnbqkb1r/ppp1p1pp/3p4/2N2p2/7n/7P/PPPPPPP1/R1BQKBNR b KQkq - 1 6,d6c5,black,d6c5,398,390,-8
1r2kbnr/pb4p1/n2qpp2/1pPP1P1p/6PP/P2P4/4P2R/RNBQKBN1 w Qk - 0 14,c5d6,white,c5d6,618,610,-8
r1b1k2r/3pp1n1/2n3p1/p4p1R/3P4/2P3P1/pP2P3/R1bQKBN1 b kq - 1 18,g7h5,black,g7h5,-127,-129,-2
